2017-09-21 23:24:21,507 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-09-21 23:26:51,164 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.seniorsolution.mavendao:01_ConceitosDependencia:1.0.0 @ C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\01_ConceitosDependencia\pom.xml.
2017-09-21 23:26:54,086 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-21 23:26:54,093 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\01_ConceitosDependencia\src\main\resources
2017-09-21 23:26:54,097 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-21 23:26:54,104 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\01_ConceitosDependencia\src\test\resources
2017-09-21 23:26:56,551 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: br.com.seniorsolution.mavenweb:03_ProjetoWeb:1.0.0 @ C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\03_ProjetoWeb\pom.xml.
2017-09-21 23:26:57,845 [Worker-11] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/mysql/mysql-connector-java/5.1.42/mysql-connector-java-5.1.42.pom
2017-09-21 23:26:58,068 [Worker-11] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/mysql/mysql-connector-java/5.1.42/mysql-connector-java-5.1.42.pom
2017-09-21 23:26:58,357 [Worker-11] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/br/com/seniorsolution/maven/04_ExemploMaven/1.1/04_ExemploMaven-1.1.pom
2017-09-21 23:26:58,363 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for br.com.seniorsolution.maven:04_ExemploMaven:jar:1.1 is missing, no dependency information available
2017-09-21 23:26:59,117 [Worker-11] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/mysql/mysql-connector-java/5.1.42/mysql-connector-java-5.1.42.jar
2017-09-21 23:27:00,577 [Worker-11] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/mysql/mysql-connector-java/5.1.42/mysql-connector-java-5.1.42.jar
2017-09-21 23:27:00,793 [Worker-11] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/br/com/seniorsolution/maven/04_ExemploMaven/1.1/04_ExemploMaven-1.1.jar
2017-09-21 23:27:01,455 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for br.com.seniorsolution.maven:04_ExemploMaven:jar:1.1 is missing, no dependency information available
2017-09-21 23:27:03,217 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-21 23:27:03,230 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\03_ProjetoWeb\src\main\resources
2017-09-21 23:27:03,232 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-21 23:27:03,239 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\03_ProjetoWeb\src\test\resources
2017-09-21 23:27:03,537 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for br.com.seniorsolution.maven:04_ExemploMaven:jar:1.1 is missing, no dependency information available
2017-09-21 23:27:03,562 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-21 23:27:03,570 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\03_ProjetoWeb\src\main\resources
2017-09-21 23:27:03,572 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-21 23:27:03,585 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\03_ProjetoWeb\src\test\resources
