127.0.0.1 - - [09/Nov/2017:09:49:46 -0200] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [09/Nov/2017:09:49:54 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1511
0:0:0:0:0:0:0:1 - - [09/Nov/2017:09:49:57 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:09:49:58 -0200] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:10:29 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1514
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:10:30 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:10:33 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1514
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:10:33 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:10:33 -0200] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:11:04 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:11:04 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:11:04 -0200] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:11:05 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:11:05 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:11:05 -0200] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:11:24 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1562
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:11:24 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:11:24 -0200] "GET /favicon.ico HTTP/1.1" 404 1081
